verb,aspect,pair,pair_aspect,pair_type,similarity
milczeć,ndk,zmilczeć,dk,derived,0.5600970384008164
mordować,ndk,zamordować,dk,empty,0.5475320027071658
mordować,ndk,wymordować,dk,derived,0.6046348689184811
mordować,ndk,pomordować,dk,derived,0.5910461825543236
mówić,ndk,powiedzieć,dk,suppletion,0.640132488342223
mówić,ndk,pomówić,dk,derived,0.4989290141325362
mówić,ndk,omówić,dk,derived,0.24545338630878466
mówić,ndk,wymówić,dk,derived,0.3085340788581362
mówić,ndk,zamówić,dk,derived,0.18835629458614966
mruczeć,ndk,mruknąć,dk,suffixed,0.44931888813648857
mruczeć,ndk,pomruczeć,dk,derived,0.5613688915106599
mruczeć,ndk,zamruczeć,dk,empty,0.5425658801773611
mrugać,ndk,mrugnąć,dk,suffixed,0.47441900403339277
mrugać,ndk,zamrugać,dk,empty,0.49268107997105925
myć,ndk,umyć,dk,empty,0.7596559339794526
myć,ndk,zmyć,dk,derived,0.5147359050205175
myć,ndk,domyć,dk,derived,0.5578148658770833
myć,ndk,obmyć,dk,derived,0.5460381887552677
mylić,ndk,omylić,dk,empty,0.29734957221563685
mylić,ndk,pomylić,dk,empty,0.6350278650507878
mylić,ndk,zmylić,dk,empty,0.24483406054286827
myśleć,ndk,pomyśleć,dk,empty,0.6701363901156205
myśleć,ndk,przemyśleć,dk,derived,0.35736815166162283
nabierać,ndk,nabrać,dk,suffixed,0.7013517617942906
naciskać,ndk,nacisnąć,dk,suffixed,0.37630166268972576
nadawać,ndk,nadać,dk,suffixed,0.6101849262970432
nagrywać,ndk,nagrać,dk,suffixed,0.7745250977253022
nakazywać,ndk,nakazać,dk,suffixed,0.6481369259536359
namawiać,ndk,namówić,dk,suffixed,0.61789013236919
napełniać,ndk,napełnić,dk,suffixed,0.6951145659338187
narastać,ndk,narosnąć,dk,suffixed,0.3874841123381252
narażać,ndk,narazić,dk,suffixed,0.7856950402024193
naruszać,ndk,naruszyć,dk,suffixed,0.801671621060471
narzucać,ndk,narzucić,dk,suffixed,0.6511548697715142
następować,ndk,nastąpić,dk,suffixed,0.7914889912011478
nawiązywać,ndk,nawiązać,dk,suffixed,0.657476476008925
nazywać,ndk,nazwać,dk,suffixed,0.6804288099214567
negocjować,ndk,wynegocjować,dk,empty,0.7003264954532364
nienawidzić,ndk,znienawidzić,dk,empty,0.46641687443335056
niepokoić,ndk,zaniepokoić,dk,empty,0.62088550537968
niszczyć,ndk,zniszczyć,dk,empty,0.6801244885422074
notować,ndk,zanotować,dk,empty,0.6388669092106362
notować,ndk,wynotować,dk,derived,0.4682332501498242
notować,ndk,odnotować,dk,derived,0.42270577476111315
nudzić,ndk,znudzić,dk,empty,0.6327137703620227
obejmować,ndk,objąć,dk,suffixed,0.601609918241124
obiecywać,ndk,obiecać,dk,suffixed,0.5615568833373531
obniżać,ndk,obniżyć,dk,suffixed,0.7780149122062865
obracać,ndk,obrócić,dk,suffixed,0.6266873609569003
obrażać,ndk,obrazić,dk,suffixed,0.7921909246400501
obserwować,ndk,zaobserwować,dk,empty,0.6766061643644249
obsługiwać,ndk,obsłużyć,dk,suffixed,0.7553021706311885
oceniać,ndk,ocenić,dk,suffixed,0.766438340978078
ocierać,ndk,otrzeć,dk,suffixed,0.5484765472258727
odbierać,ndk,odebrać,dk,suffixed,0.7350576217247615
odbijać,ndk,odbić,dk,suffixed,0.7111629630776934
odbywać,ndk,odbyć,dk,suffixed,0.7498324885628629
odcinać,ndk,odciąć,dk,suffixed,0.7293165046824045
odczuwać,ndk,odczuć,dk,suffixed,0.5786548625566571
odczytywać,ndk,odczytać,dk,suffixed,0.7507243641848959
oddalać,ndk,oddalić,dk,suffixed,0.6347488378251491
oddawać,ndk,oddać,dk,suffixed,0.7696490773354531
oddychać,ndk,odetchnąć,dk,suffixed,0.5359495828381723
odgrywać,ndk,odegrać,dk,suffixed,0.8189667725193851
odjeżdżać,ndk,odjechać,dk,suffixed,0.5781377831444594
odkrywać,ndk,odkryć,dk,suffixed,0.6278628745473175
odmawiać,ndk,odmówić,dk,suffixed,0.70978418519681
odnosić,ndk,odnieść,dk,suffixed,0.7022554320948489
odpoczywać,ndk,odpocząć,dk,suffixed,0.7133621827938537
odpowiadać,ndk,odpowiedzieć,dk,suffixed,0.6266116338490768
odrywać,ndk,oderwać,dk,suffixed,0.6605943762518591
odrzucać,ndk,odrzucić,dk,suffixed,0.6193159683923367
odsłaniać,ndk,odsłonić,dk,suffixed,0.6836308623106555
odsuwać,ndk,odsunąć,dk,suffixed,0.6786424193601541
odwiedzać,ndk,odwiedzić,dk,suffixed,0.7229072802529077
odwoływać,ndk,odwołać,dk,suffixed,0.7777000651834861
odwracać,ndk,odwrócić,dk,suffixed,0.6757101728675027
odzywać,ndk,odezwać,dk,suffixed,0.6734859418890317
oferować,ndk,zaoferować,dk,empty,0.7832802621669921
ogarniać,ndk,ogarnąć,dk,suffixed,0.5339927900701701
oglądać,ndk,oglądnąć,dk,suffixed,0.7412312953869967
oglądać,ndk,obejrzeć,dk,suppletion,0.8270341902418091
ogłaszać,ndk,ogłosić,dk,suffixed,0.7652089763499237
ograniczać,ndk,ograniczyć,dk,suffixed,0.7997129446591569
okazywać,ndk,okazać,dk,suffixed,0.4018271136000363
określać,ndk,określić,dk,suffixed,0.7557712213086366
omawiać,ndk,omówić,dk,suffixed,0.7405693833671421
omijać,ndk,ominąć,dk,suffixed,0.7303457502533769
opadać,ndk,opaść,dk,suffixed,0.6612246946708039
opiekować,ndk,zaopiekować,dk,empty,0.8167607356679057
opierać,ndk,oprać,dk,suffixed,0.22338722479752438
opierać,ndk,oprzeć,dk,suffixed,0.7468489623600989
opisywać,ndk,opisać,dk,suffixed,0.6635029410413769
opłacać,ndk,opłacić,dk,suffixed,0.7082063883941067
opowiadać,ndk,opowiedzieć,dk,suffixed,0.7197600857982036
opuszczać,ndk,opuścić,dk,suffixed,0.7082683847847815
organizować,ndk,zorganizować,dk,empty,0.7857937901312246
osiągać,ndk,osiągnąć,dk,suffixed,0.7452865114770367
oskarżać,ndk,oskarżyć,dk,suffixed,0.7390411277168872
osłaniać,ndk,osłonić,dk,suffixed,0.761981354534355
ostrzegać,ndk,ostrzec,dk,suffixed,0.67286133880626
oszczędzać,ndk,oszczędzić,dk,suffixed,0.6048744387707194
