pivot,derivation,similarity,category,affix
koszyk,koszykówka,0.69194543,N:N,-ówka
wielki,wielkość,0.76202005,ADJ:N,-ość
szczery,szczerość,0.89549136,ADJ:N,-ość
kapłan,kapłaństwo,0.7055917,N:N,-stwo
kłamać,kłamstwo,0.8883076,V:N,-stwo
wojsko,wojskowy,0.8803318,N:ADJ,-owy
przeszły,przeszłość,0.80717695,ADJ:N,-ość
męczyć,męczennik,0.5280057,V:N,-nik
pała,pałka,0.668347,N:N,-ka
lobby,lobbista,0.7293897,N:N,-ista
zamknąć,zamknięty,0.7942307,V:ADJ,-ty
nuda,nudny,0.7173882,N:ADJ,-ny
akuszer,akuszerka,0.8136256,N:N,-ka
bóg,bożnica,0.66808015,N:N,-nica
dół,dolny,0.7239312,N:ADJ,-ny
góra,górny,0.79646033,N:ADJ,-ny
ogród,ogrodnik,0.7657853,N:N,-nik
opieka,opiekun,0.880696,N:N,-un
wdowa,wdowiec,0.8065039,N:N,-iec
Estonia,estoński,0.71995777,N:ADJ,-ski
Węgry,węgierski,0.8418401,N:ADJ,-ski
Łotwa,łotewski,0.7555306,N:ADJ,-ski
Kanton,kantoński,0.698534,N:ADJ,-ski
Stalin,stalinista,0.7275221,N:N,-ista
wodny,podwodny,0.88204795,ADJ:ADJ,pod-
grzeczny,niegrzeczny,0.9196059,ADJ:ADJ,nie-
indoeuropejski,praindoeuropejski,0.89376575,ADJ:ADJ,pra-
erotyka,erotyczny,0.90011835,N:ADJ,-yczny
szyba,szybka,0.68527514,N:N,-ka
zmęczyć,zmęczony,0.7080662,V:ADJ,-ony
ciekać,ciekawy,0.585077,V:ADJ,-awy
ciekawy,nieciekawy,0.620484,ADJ:ADJ,nie-
prawidło,prawidłowy,0.71731204,N:ADJ,-owy
król,królik,0.73407614,N:N,-ik
podróż,podróżować,0.8817612,N:V,-ować
piękny,piękno,0.82896835,ADJ:N,-o
dupa,dupek,0.8318904,N:N,-ek
próba,próbować,0.8474533,N:V,-ować
niepodległy,niepodległość,0.70780605,ADJ:N,-ość
golf,golfista,0.78491175,N:N,-ista
polecić,polecać,0.80167085,V:V,-ać
iść,wejść,0.8092088,V:V,w-
kupić,kupować,0.9551514,V:V,-ować
iść,wyjść,0.8566673,V:V,wy-
gamrat,gach,0.6994027,N:N,-ch
dżudoka,dżudoczka,0.9473914,N:N,-ka
Szwed,Szwedka,0.83370835,N:N,-ka
głęboki,głęboko,0.90289766,ADJ:ADV,-o
zaprosić,zapraszać,0.6911119,V:V,-ać
ciężar,ciężarówka,0.74830616,N:N,-ówka
pomnieć,zapomnieć,0.7165967,V:V,za-
Ukraina,ukraiński,0.82758343,N:ADJ,-ski
wolny,wolność,0.8496306,ADJ:N,-ość
zwykły,zwykle,0.75700283,ADJ:ADV,-e
metr,centymetr,0.67454815,N:N,centy-
leń,lenistwo,0.5920479,N:N,-stwo
śmieci,śmieciarka,0.8246865,N:N,-arka
kopać,koparka,0.66067106,V:N,-arka
lew,lwica,0.73643744,N:N,-ica
wiśnia,wiśniowy,0.8693603,N:ADJ,-owy
ciągnąć,ciągnik,0.53307164,V:N,-ik
taksa,taksówka,0.5552937,N:N,-ówka
zmienić,zmieniać,0.93490684,V:V,-ać
optymista,optymistka,0.90400845,N:N,-ka
pesymista,pesymistka,0.9105824,N:N,-ka
jadać,jadalny,0.65537333,V:ADJ,-alny
jadalny,niejadalny,0.8044555,ADJ:ADJ,nie-
Białoruś,białoruski,0.84977174,N:ADJ,-ski
narodowy,narodowość,0.79364365,ADJ:N,-ość
tajemny,tajemnica,0.69454205,ADJ:N,-ica
wieść,powieść,0.68131757,V:V,po-
naprawić,naprawiać,0.7041222,V:V,-ać
iść,przyjść,0.80136067,V:V,przy-
zarobić,zarabiać,0.95741415,V:V,-ać
ostrzec,ostrzegać,0.7157929,V:V,-ać
różny,różnica,0.7901315,ADJ:N,-ica
żebrać,żebrak,0.8049384,V:N,-ak
szantaż,szantażować,0.72221076,N:V,-ować
Indonezja,indonezyjski,0.7439561,N:ADJ,-ski
Bretania,bretoński,0.5314014,N:ADJ,-ski
zająć,zajęty,0.82150793,V:ADJ,-ęty
dym,dymnica,0.6935397,N:N,-nica
przetaczać,przetacznik,0.7708204,V:N,-nik
len,lnica,0.6086897,N:N,-ica
pisać,napisać,0.9263902,V:V,na-
taniec,tańczyć,0.85451216,N:V,-yć
zacząć,zaczynać,0.90059924,V:V,-ać
żaba,żabka,0.92692304,N:N,-ka
ryba,rybka,0.7664879,N:N,-ka
niedźwiedź,niedźwiadek,0.6017339,N:N,-ek
rzepa,rzepak,0.85053563,N:N,-ak
obuwie,obuwik,0.6460722,N:N,-ik
pole,polować,0.84562296,N:V,-ować
praca,pracownik,0.83508575,N:N,-ownik
przesadzić,przesadzać,0.9508534,V:V,-ać
