"category","model","language","type","version","mean_similarity"
"V;PST;2;PL;MASC;HUM","FastText","Polish","Inflection","Clean",0.496095383127205
"V;PST;2;PL;MASC;HUM","Multilingual BERT","Polish","Inflection","Clean",0.908445398637441
"V;PST;2;SG;FEM","FastText","Polish","Inflection","Clean",0.508251529366034
"V;PST;2;SG;FEM","Multilingual BERT","Polish","Inflection","Clean",0.92566152771327
"V;PST;2;SG;MASC","FastText","Polish","Inflection","Clean",0.510160468610505
"V;PST;2;SG;MASC","Multilingual BERT","Polish","Inflection","Clean",0.926411137452607
"V;PST;2;SG;MASC","Word2Vec","Polish","Inflection","Clean",0.659981769861852
"V;PST;3;PL","FastText","Polish","Inflection","Clean",0.574404120651658
"V;PST;3;PL","Multilingual BERT","Polish","Inflection","Clean",0.929015996516588
"V;PST;3;PL","Word2Vec","Polish","Inflection","Clean",0.499552531879665
"V;PST;3;PL;MASC;HUM","FastText","Polish","Inflection","Clean",0.574166595054261
"V;PST;3;PL;MASC;HUM","Multilingual BERT","Polish","Inflection","Clean",0.931429286777251
"V;PST;3;PL;MASC;HUM","Word2Vec","Polish","Inflection","Clean",0.530372821276671
"V;PST;3;SG;FEM","FastText","Polish","Inflection","Clean",0.591442035809381
"V;PST;3;SG;FEM","Multilingual BERT","Polish","Inflection","Clean",0.930356892677725
"V;PST;3;SG;FEM","Word2Vec","Polish","Inflection","Clean",0.527611778521494
"V;PST;3;SG;MASC","FastText","Polish","Inflection","Clean",0.627099614436629
"V;PST;3;SG;MASC","Multilingual BERT","Polish","Inflection","Clean",0.928651094407583
"V;PST;3;SG;MASC","Word2Vec","Polish","Inflection","Clean",0.565081512843006
"V;PST;3;SG;NEUT","FastText","Polish","Inflection","Clean",0.567406937504657
"V;PST;3;SG;NEUT","Multilingual BERT","Polish","Inflection","Clean",0.938879336646919
"V;PST;3;SG;NEUT","Word2Vec","Polish","Inflection","Clean",0.488870242570147
